;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Sesto, 41;Cremona, Ugolani Dati, 4;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Roma, 59;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi (ex piazza Scuole);San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Europa, 2;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Cremona, Palosca n. 2;Ostiano;San Giovanni
Casalpusterlengo, Pusterla 7;34.93333333333333;26.9;29.716666666666665;38.85;39.35;26.033333333333335;41.1;37.06666666666667;38.36666666666667;63.416666666666664;0.23333333333333334;22.283333333333335;32.333333333333336;50.96666666666667;30.8;29.016666666666666;27.0;34.55;34.5;24.716666666666665;29.633333333333333;37.61666666666667;45.266666666666666;22.183333333333334;61.88333333333333;50.31666666666667;31.516666666666666;29.366666666666667;64.53333333333333;29.033333333333335;18.683333333333334;34.4;50.93333333333333;26.95;31.816666666666666;31.5;37.43333333333333;44.9;55.35;279.06666666666666;14.75;52.06666666666667;68.83333333333333;35.6;22.583333333333332;71.25;37.916666666666664;32.81666666666667;23.966666666666665;58.65;58.983333333333334;39.3;22.866666666666667;57.65;40.8;29.466666666666665;104.96666666666667;32.68333333333333;34.516666666666666;31.733333333333334;31.766666666666666;41.583333333333336;41.38333333333333;35.916666666666664;38.36666666666667;38.36666666666667;50.483333333333334;59.11666666666667
Castelleone, Roma, 67;28.933333333333334;15.583333333333334;21.116666666666667;32.38333333333333;22.0;16.466666666666665;25.95;21.966666666666665;20.983333333333334;61.483333333333334;22.316666666666666;0.43333333333333335;23.766666666666666;44.483333333333334;15.45;14.883333333333333;15.383333333333333;27.783333333333335;27.783333333333335;25.25;7.833333333333333;31.966666666666665;36.78333333333333;13.883333333333333;55.38333333333333;44.666666666666664;10.533333333333333;10.066666666666666;56.03333333333333;22.383333333333333;7.1;16.05;45.28333333333333;15.616666666666667;21.116666666666667;25.35;28.95;39.25;49.7;293.9;17.35;42.833333333333336;74.51666666666667;18.25;11.016666666666667;62.733333333333334;31.866666666666667;11.016666666666667;8.883333333333333;50.233333333333334;50.56666666666667;22.033333333333335;16.866666666666667;49.233333333333334;19.116666666666667;11.15;120.41666666666667;27.0;24.033333333333335;11.966666666666667;21.633333333333333;30.783333333333335;35.75;29.016666666666666;29.933333333333334;29.933333333333334;44.85;50.666666666666664
Castelverde, Ubaldo Ferrari, 15;49.46666666666667;15.35;42.03333333333333;16.016666666666666;41.516666666666666;37.2;46.333333333333336;8.766666666666667;40.88333333333333;45.016666666666666;31.383333333333333;22.95;0.7833333333333333;28.05;36.1;35.583333333333336;7.516666666666667;11.866666666666667;11.866666666666667;45.86666666666667;28.733333333333334;15.516666666666667;20.016666666666666;15.716666666666667;39.0;28.283333333333335;31.4;30.783333333333335;39.63333333333333;43.016666666666666;28.033333333333335;36.666666666666664;28.916666666666668;15.433333333333334;41.78333333333333;45.96666666666667;12.55;22.866666666666667;33.31666666666667;282.31666666666666;23.716666666666665;32.68333333333333;58.15;38.916666666666664;31.883333333333333;46.31666666666667;52.46666666666667;30.216666666666665;20.366666666666667;33.833333333333336;34.266666666666666;41.8;10.9;32.833333333333336;29.233333333333334;20.033333333333335;117.51666666666667;47.666666666666664;44.75;25.283333333333335;42.3;51.11666666666667;19.35;13.15;13.583333333333334;13.583333333333334;28.466666666666665;34.28333333333333
Cingia de' Botti, Giuseppina, 79;70.98333333333333;37.416666666666664;63.31666666666667;16.216666666666665;64.25;58.53333333333333;68.06666666666666;34.233333333333334;63.25;17.766666666666666;47.56666666666667;44.4;29.116666666666667;0.0;57.516666666666666;56.68333333333333;28.883333333333333;23.75;23.75;67.25;49.983333333333334;19.0;20.2;37.083333333333336;12.266666666666667;20.516666666666666;52.666666666666664;52.11666666666667;12.466666666666667;64.46666666666667;49.3;59.15;21.85;37.46666666666667;63.21666666666667;67.48333333333333;22.8;15.783333333333333;14.416666666666666;274.78333333333336;45.3;39.583333333333336;31.016666666666666;60.333333333333336;53.06666666666667;19.2;73.91666666666667;53.2;41.733333333333334;6.633333333333334;7.066666666666666;64.1;32.31666666666667;5.65;54.25;43.5;124.65;69.13333333333334;66.05;46.63333333333333;63.61666666666667;72.78333333333333;16.616666666666667;27.2;16.883333333333333;16.883333333333333;21.4;7.066666666666666
Crema, Civerchi, 9;20.816666666666666;28.333333333333332;13.35;45.38333333333333;16.766666666666666;10.233333333333333;14.266666666666667;35.55;15.733333333333333;74.63333333333334;31.466666666666665;15.483333333333333;36.833333333333336;57.583333333333336;0.26666666666666666;4.4;28.5;40.96666666666667;40.96666666666667;17.183333333333334;15.2;45.0;49.78333333333333;26.983333333333334;68.51666666666667;57.63333333333333;10.05;10.2;69.18333333333334;14.3;14.433333333333334;10.916666666666666;58.43333333333333;28.4;13.033333333333333;17.216666666666665;42.0;52.25;62.7;303.1166666666667;30.5;45.13333333333333;87.58333333333333;12.783333333333333;9.183333333333334;75.98333333333333;23.766666666666666;13.25;22.033333333333335;63.416666666666664;63.78333333333333;12.733333333333333;30.033333333333335;62.416666666666664;21.25;25.216666666666665;133.11666666666667;18.883333333333333;12.583333333333334;18.65;13.5;19.1;48.81666666666667;42.25;43.03333333333333;43.03333333333333;57.88333333333333;63.85
Crema, Dante Alighieri, 49;20.2;27.466666666666665;12.75;44.583333333333336;17.116666666666667;8.066666666666666;15.733333333333333;35.15;16.15;73.83333333333333;28.716666666666665;14.666666666666666;36.03333333333333;56.766666666666666;4.316666666666666;0.0;27.7;40.166666666666664;40.166666666666664;16.533333333333335;15.55;44.18333333333333;48.96666666666667;26.183333333333334;67.7;56.88333333333333;10.433333333333334;9.35;68.41666666666667;13.666666666666666;11.633333333333333;11.183333333333334;57.68333333333333;27.6;12.433333333333334;16.616666666666667;41.25;51.5;61.95;300.18333333333334;28.1;45.583333333333336;86.81666666666666;13.05;6.416666666666667;75.18333333333334;23.05;13.65;21.25;62.61666666666667;62.983333333333334;12.983333333333333;29.25;61.61666666666667;21.65;24.433333333333334;118.83333333333333;18.216666666666665;13.433333333333334;19.05;12.9;20.516666666666666;48.05;41.46666666666667;42.25;42.25;57.1;63.06666666666667
Cremona, Sesto, 41;42.03333333333333;8.633333333333333;34.55;16.85;35.21666666666667;29.716666666666665;39.18333333333333;14.683333333333334;34.233333333333334;46.016666666666666;26.083333333333332;15.5;8.316666666666666;28.983333333333334;28.583333333333332;28.066666666666666;0.0;12.4;12.4;38.36666666666667;21.116666666666667;16.5;21.3;8.166666666666666;39.93333333333333;29.2;23.7;23.216666666666665;40.56666666666667;35.483333333333334;20.433333333333334;30.216666666666665;29.816666666666666;8.7;34.266666666666666;38.516666666666666;13.466666666666667;23.783333333333335;34.233333333333334;282.71666666666664;17.666666666666668;33.416666666666664;59.05;31.4;24.266666666666666;47.333333333333336;44.983333333333334;24.2;12.816666666666666;34.766666666666666;35.1;35.11666666666667;4.4;33.75;27.9;14.583333333333334;118.05;40.11666666666667;37.13333333333333;17.7;34.71666666666667;43.9;20.316666666666666;13.666666666666666;14.5;14.5;29.416666666666668;35.21666666666667
Cremona, Ugolani Dati, 4;53.9;20.366666666666667;46.266666666666666;12.016666666666667;47.2;41.516666666666666;51.03333333333333;17.25;46.2;41.233333333333334;33.15;27.366666666666667;12.15;24.183333333333334;40.483333333333334;39.86666666666667;11.85;0.16666666666666666;0.16666666666666666;50.25;32.95;12.466666666666667;18.733333333333334;20.066666666666666;35.13333333333333;25.166666666666668;35.63333333333333;35.11666666666667;35.78333333333333;47.46666666666667;32.3;42.18333333333333;25.783333333333335;20.45;46.21666666666667;50.483333333333334;10.9;19.75;30.2;279.01666666666665;25.5;29.35;54.233333333333334;43.35;36.13333333333333;42.516666666666666;56.93333333333333;36.15;24.733333333333334;29.95;30.25;47.11666666666667;15.316666666666666;28.933333333333334;37.31666666666667;26.5;114.33333333333333;52.13333333333333;49.06666666666667;29.616666666666667;46.63333333333333;55.78333333333333;16.216666666666665;7.416666666666667;9.65;9.65;25.316666666666666;30.383333333333333
Cremona, Ugolani Dati, 4;53.88333333333333;20.366666666666667;46.266666666666666;12.033333333333333;47.15;41.56666666666667;51.0;17.25;46.166666666666664;41.18333333333333;33.11666666666667;27.366666666666667;12.15;24.15;40.43333333333333;39.81666666666667;11.85;0.16666666666666666;0.16666666666666666;50.2;33.016666666666666;12.433333333333334;18.7;20.066666666666666;35.083333333333336;25.133333333333333;35.7;35.083333333333336;35.71666666666667;47.43333333333333;32.333333333333336;42.15;25.933333333333334;20.45;46.18333333333333;50.333333333333336;10.883333333333333;19.716666666666665;30.166666666666668;279.1;25.733333333333334;29.316666666666666;54.2;43.166666666666664;36.03333333333333;42.5;56.78333333333333;36.15;24.733333333333334;29.933333333333334;30.333333333333332;46.95;15.316666666666666;28.933333333333334;37.2;26.616666666666667;115.11666666666666;51.983333333333334;48.85;29.683333333333334;46.416666666666664;55.55;16.216666666666665;7.416666666666667;9.6;9.6;25.283333333333335;30.35
Dovera, Oldrini 2;11.283333333333333;36.833333333333336;12.216666666666667;54.1;23.816666666666666;12.283333333333333;17.933333333333334;43.96666666666667;20.9;83.4;24.35;23.95;45.5;66.31666666666666;16.016666666666666;15.983333333333333;37.166666666666664;49.6;49.6;0.18333333333333332;24.8;53.63333333333333;58.3;35.61666666666667;77.21666666666667;66.36666666666666;19.716666666666665;18.583333333333332;77.86666666666666;7.7;20.483333333333334;21.383333333333333;67.11666666666666;36.916666666666664;7.85;7.483333333333333;50.65;60.93333333333333;71.43333333333334;298.81666666666666;34.05;52.916666666666664;88.08333333333333;19.45;15.3;84.88333333333334;13.85;22.833333333333332;30.583333333333332;72.11666666666666;72.51666666666667;17.916666666666668;38.7;71.1;29.25;33.516666666666666;110.41666666666667;9.566666666666666;10.566666666666666;28.383333333333333;7.783333333333333;17.566666666666666;57.43333333333333;50.916666666666664;51.666666666666664;51.666666666666664;66.5;72.55
Fiesco, Giuseppe Parini, 10;29.35;18.7;22.283333333333335;38.733333333333334;19.25;18.316666666666666;23.75;22.433333333333334;18.25;67.98333333333333;29.35;7.616666666666666;30.183333333333334;50.916666666666664;15.1;14.8;21.85;34.28333333333333;34.28333333333333;25.666666666666668;0.0;38.333333333333336;41.18333333333333;20.3;61.81666666666667;51.03333333333333;5.3;11.883333333333333;62.46666666666667;22.9;14.4;11.033333333333333;50.21666666666667;18.8;21.633333333333333;25.9;35.36666666666667;45.63333333333333;56.13333333333333;299.75;24.95;37.733333333333334;81.0;15.433333333333334;15.783333333333333;69.51666666666667;32.36666666666667;5.8;15.35;56.766666666666666;57.166666666666664;19.2;23.45;55.75;13.8;12.5;128.26666666666668;27.55;23.066666666666666;5.833333333333333;22.1;28.516666666666666;42.18333333333333;35.55;36.38333333333333;36.38333333333333;49.68333333333333;57.2
Gadesco-Pieve Delmona, Giovanni Lonati 9;57.583333333333336;24.3;50.15;11.5;50.9;45.4;54.833333333333336;20.983333333333334;49.95;35.93333333333333;35.28333333333333;31.1;15.983333333333333;18.883333333333333;44.266666666666666;43.65;15.783333333333333;11.883333333333333;11.883333333333333;53.983333333333334;36.9;0.48333333333333334;10.3;24.083333333333332;30.15;15.616666666666667;39.583333333333336;38.85;30.45;51.2;36.11666666666667;45.85;16.4;24.383333333333333;49.95;54.11666666666667;4.65;10.216666666666667;20.683333333333334;277.1333333333333;32.0;27.45;48.833333333333336;47.03333333333333;39.983333333333334;37.55;60.7;40.11666666666667;28.733333333333334;24.633333333333333;25.016666666666666;50.81666666666667;19.25;23.633333333333333;40.78333333333333;30.516666666666666;113.26666666666667;55.95;52.766666666666666;33.68333333333333;50.45;59.63333333333333;6.716666666666667;16.416666666666668;9.1;9.1;15.8;25.383333333333333
Grontardo, Roma, 16;63.13333333333333;29.833333333333332;55.666666666666664;19.7;52.18333333333333;50.95;57.13333333333333;22.816666666666666;51.68333333333333;36.483333333333334;43.55;36.6;21.366666666666667;19.433333333333334;49.833333333333336;49.18333333333333;21.283333333333335;18.066666666666666;18.066666666666666;59.516666666666666;40.6;11.1;0.2833333333333333;29.6;30.716666666666665;16.183333333333334;43.61666666666667;44.4;31.016666666666666;56.75;41.6;47.53333333333333;11.5;29.9;55.583333333333336;59.75;8.966666666666667;5.933333333333334;21.266666666666666;285.53333333333336;37.5;29.8;49.43333333333333;50.28333333333333;45.43333333333333;38.11666666666667;66.36666666666666;40.916666666666664;34.28333333333333;25.25;25.616666666666667;52.5;24.8;24.25;40.06666666666667;30.916666666666668;121.23333333333333;61.583333333333336;56.36666666666667;37.25;56.11666666666667;61.9;5.25;22.2;17.283333333333335;17.283333333333335;10.883333333333333;26.0
